organismo_codigo;fecha_publicacion_ta;nombre;numero_acto;denominacion_acto;activado
AB004;2022-09-14;Resolucion Exenta;921;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;876;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;875;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;787;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;731;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;730;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;705;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;674;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;631;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;605;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;578;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;567;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;530;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;503;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;488;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;486;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;474;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;438;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;411;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;447;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;416;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;410;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;398;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;393;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;392;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;373;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;273;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;253;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;252;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;239;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;237;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;228;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;180;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;179;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;135;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;126;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;108;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;63;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;1057;APRUEBA CONTRATO;Si
AB004;2022-09-14;Resolucion Exenta;1100;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;1079;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;946;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;1027;APRUEBA CONTRATO;Si
AB004;2022-09-14;Resolucion Exenta;1023;APRUEBA CONTRATO;Si
AB004;2022-09-14;Resolucion Exenta;928;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;806;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;791;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;790;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;763;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;722;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;713;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;669;APRUEBA CONTRATO;Si
AB004;2022-09-14;Resolucion Exenta;668;APRUEBA CONTRATO;Si
AB004;2022-09-14;Resolucion Exenta;554;APRUEBA CONTRATO;Si
AB004;2022-09-14;Resolucion Exenta;566;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;540;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;539;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;271;APRUEBA CONTRATO;Si
AB004;2022-09-14;Resolucion Exenta;446;APRUEBA CONTRATO;Si
AB004;2022-09-14;Resolucion Exenta;300;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;266;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion Exenta;87;APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;2022-09-14;Resolucion Exenta;75;ADJUDICA LICITACION;Si
AB004;2022-09-14;Resolucion;1052;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;2022-09-14;Resolucion;916;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;2022-09-14;Resolucion;792;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;2022-09-14;Resolucion;737;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;2022-09-14;Resolucion;642;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;2022-09-14;Resolucion;858;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
AB004;2022-09-14;Resolucion;802;RESOLUCION APRUEBA BASES ADMINISTRATIVAS TECNICAS Y ANEXOS;Si
